news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Center For American Progress,left-center,2.0,Think Tank / Policy Group,879,1294,0.4045098941555453,https://www.allsides.com/news-source/center-american-progress,0,0,0,0,,https://twitter.com/amprog,https://en.wikipedia.org/wiki/Center_for_American_Progress,https://www.facebook.com/americanprogress,amprog,0,-99.20052059459658,433.2674546368901
Center for Media & Democracy PR Watch,left-center,2.0,Think Tank / Policy Group,217,214,0.5034802784222738,https://www.allsides.com/news-source/center-media-democracy-pr-watch,0,0,0,0,,,,,,0,-1324.4344660081492,111.63757624949938
Center for Public Integrity,left-center,2.0,News Media,577,648,0.4710204081632653,https://www.allsides.com/news-source/center-public-integrity,checked,0,0,0,,https://twitter.com/Publici,https://en.wikipedia.org/wiki/Center_for_Public_Integrity,https://www.facebook.com/publici/,Publici,0,-764.2277983888206,175.8597618612859
Center for Strategic and Budgetary Assessments,right-center,4.0,Think Tank / Policy Group,344,418,0.4514435695538057,https://www.allsides.com/news-source/cent-strategic-and-budgetary-assessments,0,0,0,0,,,,,,0,-1091.5895955901456,171.03673226017645
Center on Budget and Policy Priorities,left,1.0,Think Tank / Policy Group,685,607,0.5301857585139319,https://www.allsides.com/news-source/center-budget-and-policy-priorities-0,0,0,0,0,,,,,,0,-714.6276606208304,71.52938965602729
Centre View,left-center,2.0,News Media,460,524,0.4674796747967479,https://www.allsides.com/news-source/centre-view,checked,0,0,0,,,,,,0,-934.4972150187949,167.29671894469232
Chan Lowe (cartoonist),left,1.0,Author,152,180,0.4578313253012048,https://www.allsides.com/news-source/chan-lowe-cartoonist,checked,0,0,0,,,,,,0,-1394.887207770327,132.06820479464008
Charles Blow,left-center,2.0,Author,206,211,0.4940047961630695,https://www.allsides.com/news-source/charles-blow,0,0,0,1,Low or Initial Rating,,,,,0,-1334.4516920638528,117.08318360687255
Charles Krauthammer,right-center,4.0,Author,549,516,0.5154929577464789,https://www.allsides.com/news-source/charles-krauthammer,0,0,0,1,,,,,,0,-875.7796777075891,99.93757159948257
Charlie Kirk,right,5.0,Author,32,15,0.6808510638297872,https://www.allsides.com/news-source/charlie-kirk-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1595.6924189891988,95.98121886892869
Chicago Sun-Times,left-center,2.0,News Media,632,627,0.5019857029388404,https://www.allsides.com/news-source/chicago-sun-times,0,0,0,1,Medium,,https://en.wikipedia.org/wiki/Chicago_Sun-Times,,,0,-739.0517400225658,122.64164152004382
Chicago Tribune,center,3.0,News Media,1753,3167,0.3563008130081301,https://www.allsides.com/news-source/chicago-tribune,0,0,0,1,Low or Initial Rating,https://twitter.com/@crepeau,https://en.wikipedia.org/wiki/Chicago_Tribune,https://www.facebook.com/chicagotribune,crepeau,0,1827.8023198022581,1180.7064754395394
Children’s Defense Fund,left,1.0,Think Tank / Policy Group,195,214,0.4767726161369193,https://www.allsides.com/news-source/childrens-defense-fund,0,0,0,0,,,,,,0,-1340.3172557222772,126.86048565973002
Chip Bok (cartoonist),right,5.0,Author,156,145,0.5182724252491694,https://www.allsides.com/news-source/chip-bok-cartoonist,checked,0,0,0,,,,,,0,-1416.2177069620293,104.03229918401834
Chris Britt (cartoonist),center,3.0,Author,148,84,0.6379310344827587,https://www.allsides.com/news-source/chris-britt-cartoonist,checked,0,0,0,,,,,,0,-1464.2022170026312,65.52924273287232
Chris Ruddy,right,5.0,Author,147,213,0.4083333333333333,https://www.allsides.com/news-source/chris-ruddy,0,0,0,1,Low or Initial Rating,,,,,0,-1375.662580662579,159.35212465689085
Christian Science Monitor,center,3.0,News Media,9130,12033,0.4314133156924821,https://www.allsides.com/news-source/christian-science-monitor,0,0,0,1,High,https://twitter.com/csmonitor?,https://en.wikipedia.org/wiki/The_Christian_Science_Monitor,https://www.facebook.com/ChristianScienceMonitor/,csmonitor,2,13288.422715461797,2476.9567928294955
Christiane Amanpour,left-center,2.0,Author,317,409,0.4366391184573003,https://www.allsides.com/news-source/christiane-amanpour,0,0,0,1,Low or Initial Rating,,,,,0,-1117.309634663117,183.2218798992858
Christopher Buskirk,right-center,4.0,Author,60,55,0.5217391304347826,https://www.allsides.com/news-source/christopher-buskirk-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1547.7999388949847,105.48443670371537
Chuck Asay (cartoonist),right,5.0,Author,181,151,0.5451807228915663,https://www.allsides.com/news-source/chuck-asay-cartoonist,checked,0,0,0,,,,,,0,-1394.0173743459768,91.0652153091624
City Journal,right,5.0,News Media,236,187,0.557919621749409,https://www.allsides.com/news-source/city-journal-media-bias,0,0,0,0,Low or Initial Rating,https://twitter.com/cityjournal,https://en.wikipedia.org/wiki/City_Journal_(New_York_City),https://www.facebook.com/CityJournal,cityjournal,0,-1329.4001788010598,78.99798498576166
CivilPolitics.org,center,3.0,Think Tank / Policy Group,211,210,0.501187648456057,https://www.allsides.com/news-source/civilpoliticsorg,0,0,0,1,,,,,,0,-1331.5339220136761,112.9014827008966
Clay Bennett (cartoonist),left,1.0,Author,125,93,0.573394495412844,https://www.allsides.com/news-source/clay-bennett-cartoonist,checked,0,0,0,,,,,,0,-1474.579394390634,87.94161593497336
CNBC,center,3.0,News Media,1564,3975,0.2823614370825059,https://www.allsides.com/news-source/cnbc,0,0,0,1,Low or Initial Rating,https://twitter.com/CNBC,https://en.wikipedia.org/wiki/CNBC,https://www.facebook.com/cnbc,CNBC,0,2250.450400185693,1894.8168334190693
CNET,center,3.0,News Media,154,136,0.5310344827586206,https://www.allsides.com/news-source/cnet,0,0,0,0,,https://twitter.com/CNET,https://en.wikipedia.org/wiki/CNET,https://www.facebook.com/cnet/,CNET,0,-1423.8891367773817,98.91870047760561
CNN (Web News),left-center,2.0,News Media,27746,28952,0.4893647042223711,https://www.allsides.com/news-source/cnn-media-bias,1,1,1,1,High,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN,1,38435.26068658346,1810.2044075957178
CNN - Editorial,left,1.0,News Media,8433,2395,0.7788141854451422,https://www.allsides.com/news-source/cnn-editorial,1,0,0,1,Medium,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN,2,6116.211165260928,-3998.862396965845
CNS News,right,5.0,News Media,829,686,0.5471947194719472,https://www.allsides.com/news-source/cns-news,0,0,0,0,Low or Initial Rating,https://twitter.com/cnsnews,https://en.wikipedia.org/wiki/CNS_News,https://www.facebook.com/cnsnewscom,cnsnews,0,-556.0035038175181,28.922222697513533
CNSNews.com,right,5.0,News Media,749,639,0.5396253602305475,https://www.allsides.com/news-source/cnsnewscom,0,0,0,1,Low or Initial Rating,https://twitter.com/cnsnews,https://en.wikipedia.org/wiki/CNS_News,https://www.facebook.com/cnsnewscom,cnsnews,0,-646.2807604421648,50.34679992203311
Columbia Journalism Review,center,3.0,News Media,102,210,0.3269230769230769,https://www.allsides.com/news-source/columbia-journalism-review,0,0,0,1,Low or Initial Rating,,,,,0,-1410.2259558737846,188.32405917705935
Commentary Magazine,right,5.0,News Media,128,132,0.4923076923076923,https://www.allsides.com/news-source/commentary-magazine-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/Commentary/,https://en.wikipedia.org/wiki/Commentary_(magazine),https://www.facebook.com/commentarymagazine/,Commentary,0,-1445.4275041867809,114.02160753133032
Conor Friedersdorf,center,3.0,Author,12,16,0.4285714285714285,https://www.allsides.com/news-source/conor-friedersdorf-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1609.4393620381345,110.54218833152346
Conservative HQ,right,5.0,News Media,740,327,0.6935332708528584,https://www.allsides.com/news-source/conservative-hq,0,0,0,1,Low or Initial Rating,https://twitter.com/RichardViguerie,https://en.wikipedia.org/wiki/Richard_Viguerie,https://www.facebook.com/ConservativeHQ,RichardViguerie,0,-868.6667199638658,-168.67257803431522
Cook Report,center,3.0,News Media,811,490,0.6233666410453498,https://www.allsides.com/news-source/cook-report,0,0,0,0,Low or Initial Rating,,,,,0,-704.620739126191,-100.12394058889127
Council on Foreign Relations,left,1.0,Think Tank / Policy Group,111,156,0.4157303370786517,https://www.allsides.com/news-source/council-foreign-relations-0,0,0,0,0,Low or Initial Rating,,,,,0,-1441.0937676303233,143.1114773233463
