news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Rachel Eckhardt,left-center,2.0,Author,26,42,0.3823529411764705,https://www.allsides.com/news-source/rachel-eckhardt,0,0,0,1,Medium,,,,,0,-1581.3414179134902,119.6254694876393
Rahm Emanuel,left-center,2.0,Author,9,34,0.2093023255813953,https://www.allsides.com/news-source/rahm-emanuel-media-bias,0,0,0,0,,,,,,0,-1599.1501111960122,125.61307754232938
Ralph Benko,right,5.0,Author,43,69,0.3839285714285714,https://www.allsides.com/news-source/ralph-benko,0,0,0,1,Medium,,,,,0,-1550.3857122242769,127.35482528160993
Ramesh Ponnuru,right,5.0,Author,107,74,0.5911602209944752,https://www.allsides.com/news-source/ramesh-ponnuru,0,0,0,1,,,,,,0,-1500.721464378637,86.67973109653546
RAND Corporation,left-center,2.0,Think Tank / Policy Group,389,495,0.4400452488687782,https://www.allsides.com/news-source/rand-corporation,0,0,0,0,,,,,,0,-1005.8218836214638,195.48876948428415
Rand Paul,right-center,4.0,Author,363,309,0.5401785714285714,https://www.allsides.com/news-source/rand-paul,checked,0,0,0,,,,,,0,-1153.2952037748898,79.19764117365395
Rasmussen Reports,center,3.0,News Media,451,656,0.4074074074074074,https://www.allsides.com/news-source/rasmussen-reports,0,0,0,0,,,,,,0,-849.6573064334506,268.8210435959721
Raw Story,left,1.0,News Media,491,297,0.6230964467005076,https://www.allsides.com/news-source/raw-story,checked,0,0,0,,https://twitter.com/RawStory,https://en.wikipedia.org/wiki/The_Raw_Story,https://www.facebook.com/TheRawStory/,RawStory,0,-1069.1895936492583,-18.035313928863687
RealClearPolitics,center,3.0,News Media,2787,2415,0.5357554786620531,https://www.allsides.com/news-source/real-clear-politics,0,0,0,0,,https://twitter.com/RealClearNews,https://en.wikipedia.org/wiki/RealClearPolitics,https://www.facebook.com/realclearpolitics/,RealClearNews,0,2053.9471744242383,-77.6728350562244
Reason,right-center,4.0,News Media,5258,3529,0.5983839763286674,https://www.allsides.com/news-source/reason,0,0,0,1,Low or Initial Rating,https://twitter.com/reason,https://en.wikipedia.org/wiki/Reason.com,https://facebook.com/Reason.Magazine,reason,2,4608.70642410924,-983.234691719667
Reason Foundation,right-center,4.0,Think Tank / Policy Group,115,121,0.4872881355932203,https://www.allsides.com/news-source/reason-foundation,0,0,0,0,Low or Initial Rating,,,,,0,-1462.4242607095837,115.07557565386126
Record Journal,center,3.0,News Media,102,117,0.4657534246575342,https://www.allsides.com/news-source/record-journal,0,0,0,1,Low or Initial Rating,,,,,0,-1474.5773213618359,121.18314311863358
Red State,right,5.0,News Media,601,199,0.75125,https://www.allsides.com/news-source/red-state,0,0,0,0,Low or Initial Rating,,,,,0,-1057.5867553847966,-164.90049207570905
redefinED,center,3.0,Think Tank / Policy Group,127,66,0.6580310880829016,https://www.allsides.com/news-source/redefined,0,0,0,1,Low or Initial Rating,,,,,0,-1491.8181481901927,67.06517141509153
Rem Reider,center,3.0,Author,70,90,0.4375,https://www.allsides.com/news-source/rem-reider,0,0,0,0,Low or Initial Rating,,,,,0,-1516.362246695735,123.83303683753763
Reuters,center,3.0,News Media,6834,4515,0.6021675918583135,https://www.allsides.com/news-source/reuters,0,0,0,1,Low or Initial Rating,https://twitter.com/@Reuters,https://en.wikipedia.org/wiki/Reuters,https://www.facebook.com/Reuters/,Reuters,2,6428.755031074083,-1361.9101214559694
Rich Lowry,right,5.0,Author,187,173,0.5194444444444445,https://www.allsides.com/news-source/rich-lowry-syndicated-columnist,checked,0,0,0,,,,,,0,-1374.4627990950023,102.79631131642468
Rich Tafel,center,3.0,Author,67,62,0.5193798449612403,https://www.allsides.com/news-source/rich-tafel,0,0,0,1,Low or Initial Rating,,,,,0,-1537.902664771922,105.69440695400407
Rich Zeoli,right-center,4.0,Author,62,56,0.5254237288135594,https://www.allsides.com/news-source/rich-zeoli,0,0,0,1,Low or Initial Rating,,,,,0,-1545.6640981977127,104.8224814583348
Richard A. Lowry,right,5.0,Author,73,52,0.584,https://www.allsides.com/news-source/richard-lowry,checked,0,0,0,,,,,,0,-1540.4905293902964,94.32325047077411
Richard M. Cohen,left-center,2.0,Author,30,15,0.6666666666666666,https://www.allsides.com/news-source/richard-cohen,0,0,0,1,Low or Initial Rating,,,,,0,-1597.1362912080726,97.3651332728724
Richmond Times Dispatch,right-center,4.0,News Media,205,153,0.5726256983240223,https://www.allsides.com/news-source/richmond-times-dispatch,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/Richmond_Times-Dispatch,https://www.facebook.com/TimesDispatch/,,0,-1375.3067815573963,75.90230498893727
Rick Ungar,left-center,2.0,Author,128,124,0.5079365079365079,https://www.allsides.com/news-source/rick-ungar,0,0,0,1,,,,,,0,-1450.963087199595,108.24605808452962
Right - Major Media Sources,right,5.0,News Media,261,252,0.5087719298245614,https://www.allsides.com/news-source/right-major-publications,checked,0,0,0,,,,,,0,-1266.3747863520277,108.62567524678356
Right Guest Commentaries,right,5.0,Author,54,46,0.54,https://www.allsides.com/news-source/right-guest-commentaries,checked,0,0,0,,,,,,0,-1558.3591904337627,103.13863414894305
Right Side News,right,5.0,News Media,406,197,0.6733001658374793,https://www.allsides.com/news-source/right-side-news,checked,0,0,0,Low or Initial Rating,,,,,0,-1199.7499822095629,-31.41409628338475
Right Wing News,right,5.0,News Media,352,153,0.697029702970297,https://www.allsides.com/news-source/right-wing-news,0,0,0,1,High,,,,,0,-1269.180811454014,-25.814389098823753
Rob Rogers (cartoonist),left,1.0,Author,67,13,0.8375,https://www.allsides.com/news-source/rob-rogers-cartoonist,checked,0,0,0,,,,,,0,-1571.8082329277042,70.31909208969944
Robert Ariail (cartoonist),center,3.0,Author,52,58,0.4727272727272727,https://www.allsides.com/news-source/robert-ariail-cartoonist,checked,0,0,0,,,,,,0,-1551.4996667810851,113.18588975592817
Robert Samuelson,center,3.0,Author,103,113,0.4768518518518518,https://www.allsides.com/news-source/robert-samuelson,checked,0,0,0,,,,,,0,-1476.6231991153104,117.60342051421217
Roll Call,center,3.0,News Media,71,69,0.5071428571428571,https://www.allsides.com/news-source/roll-call-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1530.1712325519877,107.98022370671714
RollingStone.com,left,1.0,News Media,1344,364,0.7868852459016393,https://www.allsides.com/news-source/rolling-stone,0,0,0,0,,http://twitter.com/rollingstone,https://en.wikipedia.org/wiki/Rolling_Stone,,rollingstone,0,-407.0096223023156,-559.8984817804657
Ross Douthat,right-center,4.0,Author,116,76,0.6041666666666666,https://www.allsides.com/news-source/ross-douthat,checked,0,0,0,,,,,,0,-1492.8400729101086,81.8960831099916
Ruth Marcus,left-center,2.0,Author,125,132,0.4863813229571984,https://www.allsides.com/news-source/ruth-marcus,0,0,0,0,,,,,,0,-1447.5933440187152,116.09748085351433
Ryan Cooper,left,1.0,Author,258,69,0.7889908256880734,https://www.allsides.com/news-source/ryan-cooper,0,0,0,1,Low or Initial Rating,,,,,0,-1395.167455838468,-21.41446197415216
Ryan Cooper,left,1.0,Author,71,42,0.6283185840707964,https://www.allsides.com/news-source/ryan-cooper-0,0,0,0,0,Low or Initial Rating,,,,,0,-1548.8538971425949,88.4877139427237
Sally Pipes,right,5.0,Author,206,89,0.6983050847457627,https://www.allsides.com/news-source/sally-pipes,checked,0,0,0,,,,,,0,-1418.869653039667,29.005847557681193
Salon,left,1.0,News Media,10912,4980,0.6866347847973824,https://www.allsides.com/news-source/salon,0,0,0,1,Medium,https://twitter.com/Salon,https://en.wikipedia.org/wiki/Salon_(website),https://www.facebook.com/salon/,Salon,2,9694.604657012815,-3847.9783515366094
San Francisco Chronicle,left,1.0,News Media,843,278,0.752007136485281,https://www.allsides.com/news-source/san-francisco-chronicle,0,0,0,0,Low or Initial Rating,,,,,0,-828.211913891769,-275.318738937449
San Jose Mercury News,left-center,2.0,News Media,333,362,0.479136690647482,https://www.allsides.com/news-source/san-jose-mercury-news,0,0,0,0,Low or Initial Rating,https://twitter.com/mercnews,https://en.wikipedia.org/wiki/The_Mercury_News,https://www.facebook.com/mercurynews,mercnews,0,-1138.280190640293,138.21925697327035
SBG,center,3.0,Author,50,45,0.5263157894736842,https://www.allsides.com/news-source/sbg,0,0,0,1,Low or Initial Rating,,,,,0,-1561.9388870989358,105.18448999317039
Science Daily,center,3.0,News Media,396,242,0.6206896551724138,https://www.allsides.com/news-source/science-daily,0,0,0,1,Low or Initial Rating,https://twitter.com/ScienceDaily,https://en.wikipedia.org/wiki/ScienceDaily,https://www.facebook.com/sciencedaily/,ScienceDaily,0,-1175.8316427789596,7.992944522066892
Scientific American,center,3.0,News Media,947,453,0.6764285714285714,https://www.allsides.com/news-source/scientific-american,0,0,0,0,Low or Initial Rating,https://twitter.com/sciam,https://en.wikipedia.org/wiki/Scientific_American,https://www.facebook.com/ScientificAmerican/,sciam,0,-632.0383394111946,-220.94114060466143
Scott Adams,center,3.0,Author,15,17,0.46875,https://www.allsides.com/news-source/scott-adams-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1606.5815760551106,109.18828119459276
Scott Stantis (cartoonist),right,5.0,Author,36,54,0.4,https://www.allsides.com/news-source/scott-stantis-cartoonist,checked,0,0,0,,,,,,0,-1565.8186039270374,121.36930588339948
SF Weekly,center,3.0,News Media,209,282,0.4256619144602851,https://www.allsides.com/news-source/sf-weekly,checked,0,0,0,,,https://en.wikipedia.org/wiki/SF_Weekly,,,0,-1283.1574228855495,166.26545471211637
SFGate,left-center,2.0,News Media,385,433,0.4706601466992665,https://www.allsides.com/news-source/sf-gate,0,0,0,0,,https://twitter.com/sfgate/,https://en.wikipedia.org/wiki/San_Francisco_Chronicle,https://www.facebook.com/SFGate/,sfgate,0,-1051.6105750393128,153.4959623744683
Signe Wilkinson (cartoonist),left,1.0,Author,25,17,0.5952380952380952,https://www.allsides.com/news-source/signe-wilkinson-cartoonist,checked,0,0,0,,,,,,0,-1599.3621334836553,102.26879161864738
Sky-Hi Daily News,left-center,2.0,News Media,114,96,0.5428571428571428,https://www.allsides.com/news-source/sky-hi-daily-news,0,0,0,0,,,,,,0,-1480.44494791436,97.71890054270635
Slate,left,1.0,News Media,3325,2384,0.5824137327027501,https://www.allsides.com/news-source/slate,1,0,1,1,Low or Initial Rating,https://twitter.com/Slate,https://en.wikipedia.org/wiki/Slate_(magazine),https://www.facebook.com/Slate/,Slate,0,2420.903329350712,-472.32231975206486
Small World (cartoonist),left,1.0,Author,14,25,0.358974358974359,https://www.allsides.com/news-source/small-world-cartoonist,checked,0,0,0,,,,,,0,-1601.7679301881349,115.65581672959037
Smerconish,center,3.0,News Media,94,140,0.4017094017094017,https://www.allsides.com/news-source/smerconish-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1464.4380520140182,143.32349768336238
Socialist Alternative,left,1.0,News Media,387,168,0.6972972972972973,https://www.allsides.com/news-source/socialist-alternative,0,0,0,1,Low or Initial Rating,,,,,0,-1233.53345028592,-39.20344815237057
Socialist Project/The Bullet,left,1.0,News Media,336,146,0.6970954356846473,https://www.allsides.com/news-source/socialist-projectthe-bullet,0,0,0,0,Low or Initial Rating,,,,,0,-1285.5755847781725,-19.796776261660412
Splinter,left,1.0,News Media,157,41,0.7929292929292929,https://www.allsides.com/news-source/splinter-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1487.4585321691507,28.25803736762171
Spokesman Review,left-center,2.0,News Media,164,181,0.4753623188405797,https://www.allsides.com/news-source/spokesman-review,0,0,0,1,Low or Initial Rating,https://twitter.com/SpokesmanReview,,https://www.facebook.com/spokesmanreview/,SpokesmanReview,0,-1385.5318981781697,124.48673361403158
State Journal,left-center,2.0,News Media,137,194,0.4138972809667673,https://www.allsides.com/news-source/state-journal,0,0,0,0,Low or Initial Rating,,,,,0,-1396.0290905155562,152.55468860253893
Steve Benson (cartoonist),left,1.0,Author,51,47,0.5204081632653061,https://www.allsides.com/news-source/steve-benson-cartoonist,checked,0,0,0,,,,,,0,-1559.8330516465041,105.93644870551759
Steve Breen (cartoonist),center,3.0,Author,51,40,0.5604395604395604,https://www.allsides.com/news-source/steve-breen-cartoonist,checked,0,0,0,,,,,,0,-1564.6767150060025,100.88282103746687
Steve Kelley (cartoonist),right,5.0,Author,28,30,0.4827586206896552,https://www.allsides.com/news-source/steve-kelley-cartoonist,checked,0,0,0,,,,,,0,-1588.2009700062204,109.57821698994152
Steve Sack (cartoonist),left,1.0,Author,41,22,0.6507936507936508,https://www.allsides.com/news-source/steve-sack-cartoonist,checked,0,0,0,,,,,,0,-1584.3512583921083,94.80731263319312
StoryCorps,allsides,,News Media,11,11,0.5,https://www.allsides.com/news-source/storycorps-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1613.621058027445,107.62440885730733
Stuart Carlson (cartoonist),left,1.0,Author,22,31,0.4150943396226415,https://www.allsides.com/news-source/stuart-carlson-cartoonist,checked,0,0,0,,,,,,0,-1591.8406670392958,114.45188431983162
Subverse,center,3.0,News Media,10,0,1.0,https://www.allsides.com/news-source/subverse-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1621.9544549011623,100.374937453771
Suspend Belief Podcast,allsides,,News Media,117,144,0.4482758620689655,https://www.allsides.com/news-source/suspend-belief-podcast,0,0,0,0,Low or Initial Rating,,,https://www.facebook.com/SuspendBelief/?fref=ts,,0,-1445.065510179906,130.29642273788622
Tallahassee Democrat,center,3.0,News Media,194,185,0.5118733509234829,https://www.allsides.com/news-source/tallahassee-democrat,0,0,0,1,Low or Initial Rating,,,,,0,-1361.1057456779213,106.61600345543742
TechCrunch,center,3.0,News Media,329,199,0.6231060606060606,https://www.allsides.com/news-source/techcrunch-media-bias,0,0,0,0,Low or Initial Rating,https://twitter.com/TechCrunch?ref_src=twsrcgoogletwcampserptwgrauthor,https://en.wikipedia.org/wiki/TechCrunch,https://www.facebook.com/techcrunch/,TechCrunch,0,-1253.9558550067545,23.309968434836208
Ted Rall (cartoonist),left,1.0,Author,37,25,0.5967741935483871,https://www.allsides.com/news-source/ted-rall-cartoonist,checked,0,0,0,,,,,,0,-1585.1631889775213,99.74095164514527
Teen Vogue,left-center,2.0,News Media,269,404,0.399702823179792,https://www.allsides.com/news-source/teen-vogue,0,0,0,1,Low or Initial Rating,,,,,0,-1155.4227581854027,212.82576336077577
Test Source,center,3.0,News Media,112,123,0.4765957446808511,https://www.allsides.com/news-source/test-source,checked,0,0,0,,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews,0,-1463.2061900668136,118.59532165434885
The Advocate-Messenger,left-center,2.0,News Media,129,166,0.4372881355932203,https://www.allsides.com/news-source/advocate-messenger,0,0,0,0,Low or Initial Rating,,,,,0,-1421.179257300176,137.87582146022103
The American Conservative,right-center,4.0,News Media,137,160,0.4612794612794613,https://www.allsides.com/news-source/american-conservative-media-bias,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/The_American_Conservative,,,0,-1419.5554083913994,128.0085384744992
The Atlantic,left-center,2.0,News Media,4533,2681,0.6283615192680898,https://www.allsides.com/news-source/atlantic,0,0,0,0,,https://twitter.com/TheAtlantic,https://en.wikipedia.org/wiki/The_Atlantic,https://www.facebook.com/TheAtlantic/,TheAtlantic,2,3498.52235573654,-1093.78038711314
The Boston Globe,left-center,2.0,News Media,1428,1090,0.5671167593328038,https://www.allsides.com/news-source/boston-globe,0,0,0,1,High,https://twitter.com/BostonGlobe,https://en.wikipedia.org/wiki/The_Boston_Globe,https://www.facebook.com/globe,BostonGlobe,0,155.9896175324095,-93.89003781099196
The Cadiz Record,left-center,2.0,News Media,143,151,0.4863945578231292,https://www.allsides.com/news-source/cadiz-record,0,0,0,0,Low or Initial Rating,,,,,0,-1421.4512760888415,117.35933784552927
The Canyon County Zephyr,left,1.0,News Media,138,109,0.5587044534412956,https://www.allsides.com/news-source/canyon-county-zephry,0,0,0,1,High,,,https://www.facebook.com/FansoftheCanyonCountryZephyr,,0,-1454.1228809367447,90.49737952715563
The College Fix,right,5.0,News Media,106,87,0.5492227979274611,https://www.allsides.com/news-source/college-fix,0,0,0,1,Low or Initial Rating,,,,,0,-1492.4480574909976,96.7569716698967
The Commercial Appeal,left-center,2.0,News Media,118,171,0.4083044982698962,https://www.allsides.com/news-source/commercial-appeal,0,0,0,1,Low or Initial Rating,,,,,0,-1425.660882028123,149.0969918467365
The Courier-Journal,left-center,2.0,News Media,88,184,0.3235294117647059,https://www.allsides.com/news-source/courier-journal,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/The_Courier-Journal,,,0,-1438.3239101709557,179.24079843864226
The Daily Caller,right,5.0,News Media,4658,2549,0.6463160815873457,https://www.allsides.com/news-source/daily-caller,1,0,0,1,Medium,https://twitter.com/@ChuckRossDC,https://en.wikipedia.org/wiki/The_Daily_Caller,https://www.facebook.com/DailyCaller/,ChuckRossDC,2,3497.42809565906,-1275.5709561954523
The Daily Show (humor),left-center,2.0,News Media,838,1105,0.431291816778178,https://www.allsides.com/news-source/daily-show,checked,0,0,0,,https://twitter.com/@TheDailyShow,,,TheDailyShow,0,-259.5788580400708,325.1897554446981
The Daily Signal,right,5.0,News Media,241,73,0.767515923566879,https://www.allsides.com/news-source/daily-signal,0,0,0,1,Low or Initial Rating,,,,,0,-1404.672749089447,-6.763544926010667
The Daily Wire,right,5.0,News Media,2719,1344,0.6692099433915826,https://www.allsides.com/news-source/daily-wire,0,0,0,1,Medium,https://twitter.com/realDailyWire,https://en.wikipedia.org/wiki/The_Daily_Wire,https://www.facebook.com/DailyWire/,realDailyWire,0,1263.7762773844186,-803.8236251911576
The Dallas Morning News,center,3.0,News Media,74,51,0.592,https://www.allsides.com/news-source/dallas-morning-news,0,0,0,1,Low or Initial Rating,https://twitter.com/dallasnews,https://en.wikipedia.org/wiki/The_Dallas_Morning_News,https://www.facebook.com/dallasmorningnews,dallasnews,0,-1540.46049972338,92.9093544536847
The Delaware County Daily Times,left-center,2.0,News Media,144,163,0.4690553745928338,https://www.allsides.com/news-source/delaware-county-daily-times,0,0,0,1,Low or Initial Rating,,,,,0,-1412.4259064720125,125.3307225175329
The Economist,left-center,2.0,News Media,1612,3004,0.3492201039861352,https://www.allsides.com/news-source/economist,0,0,1,1,,https://twitter.com/TheEconomist,https://en.wikipedia.org/wiki/The_Economist,https://www.facebook.com/TheEconomist,TheEconomist,0,1613.22019000767,1160.5943868257316
The Epoch Times,right,5.0,News Media,731,352,0.6749769159741459,https://www.allsides.com/news-source/epoch-times-media-bias,1,0,0,1,Medium,,https://en.wikipedia.org/wiki/Www.theepochtimes.com,,,0,-857.8654731634233,-144.39639406548213
The Federalist,right,5.0,News Media,2459,1211,0.6700272479564032,https://www.allsides.com/news-source/federalist,0,0,0,0,Low or Initial Rating,https://twitter.com/@seanmdav,https://en.wikipedia.org/wiki/The_Federalist_(website),https://www.facebook.com/fdrlst/,seanmdav,0,984.0411141710404,-719.9352926101616
The Flip Side,allsides,,News Media,226,183,0.5525672371638142,https://www.allsides.com/news-source/flip-side-media-bias,0,0,0,1,High,,,,,0,-1339.3873974776602,83.02970570052098
The Fulcrum,center,3.0,News Media,8,13,0.3809523809523809,https://www.allsides.com/news-source/fulcrum-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1614.4030159785284,111.14416460151519
The Gateway Pundit,right,5.0,News Media,458,335,0.5775535939470365,https://www.allsides.com/news-source/gateway-pundit,0,0,0,1,Low or Initial Rating,https://twitter.com/gatewaypundit,https://en.wikipedia.org/wiki/The_Gateway_Pundit,https://www.facebook.com/gatewaypundit,gatewaypundit,0,-1066.719683088645,32.23293674994113
The Guardian,left-center,2.0,News Media,6067,3885,0.6096262057877814,https://www.allsides.com/news-source/guardian,0,0,0,1,Medium,https://twitter.com/guardian,https://en.wikipedia.org/wiki/TheGuardian.com - https://en.wikipedia.org/wiki/The_Guardian,https://www.facebook.com/theguardian/,guardian,2,5439.094414357246,-1286.0098549350907
The Heritage Foundation,right-center,4.0,Think Tank / Policy Group,2327,1336,0.6352716352716353,https://www.allsides.com/news-source/heritage-foundation,0,0,0,0,,,https://en.wikipedia.org/wiki/The_Heritage_Foundation,,,0,975.2381163623929,-538.3547064802779
The Hill,center,3.0,News Media,7444,9180,0.447786333012512,https://www.allsides.com/news-source/hill-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/@thehill,https://en.wikipedia.org/wiki/The_Hill_(newspaper),https://www.facebook.com/TheHill,thehill,2,10097.089172993212,1583.8749376603535
The Independent,left-center,2.0,News Media,74,74,0.5,https://www.allsides.com/news-source/independent-0,0,0,0,0,,,,,,0,-1524.545662176129,109.51411346663788
The Intercept,left,1.0,News Media,1213,633,0.6570964247020585,https://www.allsides.com/news-source/intercept,0,0,0,1,Low or Initial Rating,https://twitter.com/theintercept,https://en.wikipedia.org/wiki/The_Intercept,https://www.facebook.com/theinterceptflm,theintercept,0,-315.44983454509065,-275.04973700104097
The Jerusalem Post,center,3.0,News Media,97,98,0.4974358974358974,https://www.allsides.com/news-source/jerusalem-post-media-bias,0,0,0,0,,,,,,0,-1491.3341231973327,110.92594159440313
The Justice,left-center,2.0,News Media,104,116,0.4727272727272727,https://www.allsides.com/news-source/justice,0,0,0,1,Low or Initial Rating,,,,,0,-1473.8253748916995,119.07730165733682
The Korea Herald,center,3.0,News Media,135,76,0.6398104265402843,https://www.allsides.com/news-source/korea-herald,0,0,0,1,Low or Initial Rating,,,,,0,-1479.1230844163072,68.74902357134262
The Libertarian Republic,right-center,4.0,News Media,771,626,0.5518969219756621,https://www.allsides.com/news-source/libertarian-republic,0,0,0,1,Low or Initial Rating,,,,,0,-639.3933107018638,25.738611701921414
The Nation,left,1.0,News Media,977,310,0.7591297591297591,https://www.allsides.com/news-source/nation,0,0,0,0,,https://twitter.com/thenation,https://en.wikipedia.org/wiki/The_Nation,https://www.facebook.com/thenationdaily/,thenation,0,-709.3288431789497,-344.9378132711614
The New Yorker,left,1.0,News Media,2435,762,0.7616515483265561,https://www.allsides.com/news-source/new-yorker,0,0,0,1,Low or Initial Rating,https://twitter.com/NewYorker,https://en.wikipedia.org/wiki/The_New_Yorker,https://www.facebook.com/newyorker/,NewYorker,0,656.0288494932922,-1027.481907479349
The Observer (New York),center,3.0,News Media,170,314,0.3512396694214876,https://www.allsides.com/news-source/observer,0,0,0,1,Low or Initial Rating,https://twitter.com/observer?lang=en,https://en.wikipedia.org/wiki/New_York_Observer,https://www.facebook.com/observer,observer,0,-1289.1708605067429,216.35375404435908
The Oracle,center,3.0,News Media,49,88,0.3576642335766423,https://www.allsides.com/news-source/oracle,0,0,0,1,Low or Initial Rating,,,,,0,-1532.9069752644102,136.9200944562275
The Philadelphia Inquirer,left-center,2.0,News Media,53,76,0.4108527131782946,https://www.allsides.com/news-source/phillycom,0,0,0,1,Low or Initial Rating,https://twitter.com/phillydotcom,https://en.wikipedia.org/wiki/Philadelphia_Media_Network,https://www.facebook.com/phillydotcom?ref=facebook.com,phillydotcom,0,-1538.32259008066,125.48895257898994
The Post Millennial,right-center,4.0,News Media,38,21,0.6440677966101694,https://www.allsides.com/news-source/post-millennial-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1587.2090403180791,96.16119564953608
The Red and Black,center,3.0,News Media,113,80,0.5854922279792746,https://www.allsides.com/news-source/red-and-black,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/The_Red_and_Black,,,0,-1492.2380795830513,86.85971087343249
The Reliable Bias,center,3.0,News Media,62,102,0.3780487804878049,https://www.allsides.com/news-source/reliable-bias,0,0,0,0,,,,,,0,-1513.834406832734,138.03198414648048
The Republican,center,3.0,News Media,145,359,0.2876984126984127,https://www.allsides.com/news-source/republican,0,0,0,1,Low or Initial Rating,,,,,0,-1276.0817346055994,266.1400480850579
The Resurgent,right,5.0,News Media,26,16,0.6190476190476191,https://www.allsides.com/news-source/resurgent-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/@EWErickson,,,EWErickson,0,-1599.332140441784,100.85486805650682
The Root,left-center,2.0,News Media,216,295,0.4227005870841487,https://www.allsides.com/news-source/root,0,0,0,0,Low or Initial Rating,,,,,0,-1269.1084477582344,170.80709657144808
The Sacramento Bee,left-center,2.0,News Media,228,234,0.4935064935064935,https://www.allsides.com/news-source/sacramento-bee,0,0,0,1,Low or Initial Rating,https://twitter.com/sacbee_news/,https://en.wikipedia.org/wiki/The_Sacramento_Bee,https://www.facebook.com/sacramentobee,sacbee_news,0,-1302.654042409302,118.4650210073237
The Saturday Evening Post,center,3.0,News Media,112,72,0.6086956521739131,https://www.allsides.com/news-source/saturday-evening-post,0,0,0,1,Low or Initial Rating,,,,,0,-1498.4956261723967,81.77609783707068
The Telegraph - UK,right-center,4.0,News Media,597,349,0.63107822410148,https://www.allsides.com/news-source/telegraph-uk,0,0,0,1,Low or Initial Rating,https://twitter.com/telegraph,https://en.wikipedia.org/wiki/The_Daily_Telegraph,https://www.facebook.com/TELEGRAPH.CO.UK/,telegraph,0,-956.6819829369597,-53.840900888342375
The Texas Observer,left-center,2.0,News Media,11,12,0.4782608695652174,https://www.allsides.com/news-source/texas-observer-media-bias,0,0,0,0,,,,,,0,-1612.929124190269,108.34636870492724
The Verge,left-center,2.0,News Media,438,276,0.6134453781512605,https://www.allsides.com/news-source/verge,0,0,0,1,Low or Initial Rating,https://twitter.com/verge,https://en.wikipedia.org/wiki/The_Verge,https://www.facebook.com/verge,verge,0,-1121.9836299047056,3.477181258032033
The Week - News,center,3.0,News Media,3017,2266,0.5710770395608555,https://www.allsides.com/news-source/the-week-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/TheWeek,https://en.wikipedia.org/wiki/The_Week,https://www.facebook.com/theweek/,TheWeek,0,2116.894032528162,-344.3912286118012
The Weekly Standard,right,5.0,News Media,1253,732,0.6312342569269521,https://www.allsides.com/news-source/weekly-standard,0,0,0,1,High,,https://en.wikipedia.org/wiki/The_Weekly_Standard,,,0,-218.0689818551216,-231.25517925933656
TheBlaze.com,right,5.0,News Media,29759,23159,0.5623606334328584,https://www.allsides.com/news-source/theblaze-bias,0,0,1,1,Medium,https://twitter.com/theblaze,https://en.wikipedia.org/wiki/TheBlaze,https://www.facebook.com/theblaze/,theblaze,1,35880.069136956765,-3764.920213001831
ThinkProgress,left,1.0,News Media,2557,798,0.7621460506706408,https://www.allsides.com/news-source/thinkprogress-bias,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/ThinkProgress,https://www.facebook.com/thinkprogress,,0,769.0163777061441,-1085.9097984377847
Thomas Frank,left-center,2.0,Author,117,131,0.4717741935483871,https://www.allsides.com/news-source/thomas-frank,0,0,0,1,Low or Initial Rating,,,,,0,-1454.0608339512016,120.91112847810386
Thomas Sowell,right-center,4.0,Author,261,190,0.5787139689578714,https://www.allsides.com/news-source/thomas-sowell,0,0,0,0,,,,,,0,-1309.2756905852318,63.86507007581729
Tim Groseclose,right-center,4.0,Author,74,39,0.6548672566371682,https://www.allsides.com/news-source/tim-groseclose,checked,0,0,0,,,,,,0,-1548.7639301547838,84.24601299695523
Tim Pool,center,3.0,Author,117,56,0.6763005780346821,https://www.allsides.com/news-source/tim-pool-media-bias,0,0,0,1,Medium,,,,,0,-1505.9571024916695,66.76521959126575
Time Magazine,left-center,2.0,News Media,4191,3477,0.5465571205007824,https://www.allsides.com/news-source/time-magazine-news-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/TIME,https://en.wikipedia.org/wiki/Time_(magazine),https://www.facebook.com/time/,TIME,2,3802.4094310972396,-282.46500545723273
